Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.8,96.9,97.1,97.2,97.3,97.4,97.6,98.1,97.9,98.1,98.4,98,99.3,99,99.2,99.4,99.7,99.9,99.9,100,100,100,100,100,..
Iraq,IRQ,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.8333333333333,4.32484382508409,2.76679841897233,2.28136882129278,2,1.91641730827422,1.89740687726773,1.91502686311348,1.91630311843593,1.91680131799892,1.9153605015674,1.91621965210381,1.52674009981396,1.52787579393084,1.52655209784796,19.7368421052632,18.0232386246046,17.2578752595,9.44751680763392,8.52643538457473,9.74687167743518,6.30206110977126,9.54409144247903,8.13607443387836,4.32141540729819,3.70354207578733,4.01945938211692,2.37316232604807,1.8464133649029,4.30763622476435,3.56246949940497,2.78441394121515,1.98432012699649,..,..
Iraq,IRQ,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.1666666666667,95.6751561749159,97.2332015810277,97.7186311787072,98,98.0835826917258,98.1025931227323,98.0849731368865,98.0836968815641,98.0831986820011,98.0846394984326,98.0837803478962,98.473259900186,98.4721242060692,98.473447902152,80.2631578947368,81.9767613753954,82.7421247405,90.5524831923661,91.4735646154253,90.2531283225648,93.6979388902288,90.455908557521,91.7852500513101,95.5945447843715,96.2135428031129,95.9125758641659,97.563582428129,98.0936315506011,95.642022670856,96.3870172344415,97.1664738248441,97.9692542700323,..,..
Iraq,IRQ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,398.442558298138,411.054514579061,430.950857221406,452.93779120094,527.491634137207,631.89692589094,632.132748511359,696.514368179981,804.118260959358,715.359308628198,686.627259389845,691.836983030016,809.694853056372,829.915915848052,938.577530552947,990.211734434398,956.406823803985,1126.77916772307,1208.88371256783,1140.06857395631,898.069023227648,1295.43119076746,1556.86859388652,1688.17518004057,1580.67937441499,1476.75565525716,1731.61875739311,1273.25897058407,959.367887006983,1090.52205809652,1183.92315753963,1092.98165469695,939.517629598492,980.249444124443,949.253481740859,916.179043545813,909.133658720632,962.301839872785,995.7798442565,1064.17152061051,1125.37331940921,1190.03229059907,1175.83271780348,1082.71904877674,998.349545341439,1076.62803028259,1185.88106304283,1287.12364484767,1319.43951211192,1143.12626352051,1275.01138784403,1411.58869867393,..,..
Iraq,IRQ,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.8333333333333,4.32484382508409,2.76679841897233,2.28136882129278,2,1.91641730827422,1.89740687726773,1.91502686311348,1.91630311843593,1.91680131799892,1.9153605015674,1.91621965210381,1.91654608274518,1.52787579393084,1.52655209784796,16.3289473684211,14.6941430387606,13.6835454463399,9.44751680763392,8.53264459534441,9.7496319620512,7.68482273713893,9.5495240992655,8.21895737839502,4.40908219683008,3.79053022037966,4.09087006808399,2.43831522924574,2.23215828142307,4.63672817539535,3.88740678590081,3.77958595889556,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
